# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.0579 0.0206 0.1174 0.0286
100 0.1902 0.1352 0.1755 0.0512
200 0.3803 0.3054 0.1858 0.0849
300 0.5413 0.4892 0.2343 0.1094
400 0.6732 0.6292 0.2558 0.1355
500 0.6766 0.6373 0.2830 0.1869
600 0.7151 0.6803 0.3086 0.1834
700 0.7176 0.6775 0.3411 0.2194
800 0.7291 0.6970 0.3690 0.2575
900 0.7264 0.6886 0.3899 0.2931
1000 0.7540 0.7225 0.3896 0.3206
1100 0.7619 0.7269 0.4231 0.3433
1200 0.7656 0.7315 0.4536 0.3602
1300 0.7679 0.7355 0.4515 0.3807
1400 0.7693 0.7479 0.4748 0.3988
1500 0.7756 0.7493 0.5037 0.4380
1600 0.7814 0.7483 0.5022 0.4273
1700 0.7868 0.7665 0.5360 0.4583
1800 0.7898 0.7636 0.5370 0.4677
1900 0.7877 0.7622 0.5405 0.4813
2000 0.7928 0.7613 0.5449 0.4803
2100 0.8007 0.7745 0.5807 0.5260
2200 0.7897 0.7636 0.5910 0.5387
2300 0.7972 0.7744 0.5965 0.5344
2400 0.7841 0.7640 0.6145 0.5464
2500 0.8057 0.7829 0.6121 0.5614
2600 0.8057 0.7775 0.6282 0.5639
2700 0.8142 0.7945 0.6354 0.5779
2800 0.7995 0.7737 0.6360 0.5895
2900 0.8141 0.7917 0.6482 0.5932
3000 0.8124 0.7918 0.6506 0.6034
3100 0.8229 0.8036 0.6690 0.6307
3200 0.8162 0.7974 0.6586 0.5981
3300 0.8150 0.7939 0.6781 0.6341
3400 0.8191 0.8002 0.6867 0.6355
3500 0.8196 0.7974 0.6936 0.6584
3600 0.8213 0.8027 0.6947 0.6563
3700 0.8160 0.7902 0.6996 0.6468
3800 0.8217 0.8039 0.7039 0.6699
3900 0.8198 0.7965 0.7109 0.6686
4000 0.8301 0.8100 0.7085 0.6674
4100 0.8230 0.8022 0.7222 0.6745
4200 0.8305 0.8098 0.7287 0.6932
4300 0.8303 0.8120 0.7271 0.6922
4400 0.8335 0.8164 0.7264 0.6806
4500 0.8345 0.8142 0.7277 0.6937
4600 0.8225 0.8056 0.7362 0.6926
4700 0.8381 0.8182 0.7387 0.7060
4800 0.8308 0.8127 0.7408 0.7099
4900 0.8317 0.8165 0.7431 0.7037
5000 0.8385 0.8203 0.7441 0.7161
5100 0.8372 0.8207 0.7541 0.7245
5200 0.8336 0.8159 0.7568 0.7258
5300 0.8408 0.8286 0.7611 0.7203
5400 0.8424 0.8274 0.7712 0.7429
5500 0.8362 0.8164 0.7670 0.7261
5600 0.8455 0.8328 0.7604 0.7375
5700 0.8429 0.8290 0.7620 0.7366
5800 0.8351 0.8187 0.7711 0.7456
5900 0.8369 0.8195 0.7758 0.7494
6000 0.8395 0.8261 0.7777 0.7506
6100 0.8483 0.8344 0.7729 0.7445
6200 0.8430 0.8256 0.7776 0.7494
6300 0.8395 0.8255 0.7753 0.7506
6400 0.8464 0.8336 0.7719 0.7391
6500 0.8441 0.8298 0.7786 0.7365
6600 0.8454 0.8312 0.7817 0.7438
6700 0.8448 0.8303 0.7852 0.7635
6800 0.8407 0.8240 0.7760 0.7523
6900 0.8485 0.8368 0.7759 0.7472
7000 0.8499 0.8357 0.7834 0.7512
7100 0.8518 0.8389 0.7922 0.7561
7200 0.8457 0.8291 0.7886 0.7545
7300 0.8504 0.8358 0.7960 0.7623
7400 0.8450 0.8307 0.7949 0.7706
7500 0.8529 0.8401 0.7885 0.7547
7600 0.8465 0.8314 0.7970 0.7689
7700 0.8516 0.8402 0.7982 0.7746
7800 0.8561 0.8446 0.8064 0.7838
7900 0.8522 0.8391 0.7985 0.7678
8000 0.8503 0.8380 0.7991 0.7764
8100 0.8513 0.8383 0.7976 0.7729
8200 0.8526 0.8422 0.7963 0.7723
8300 0.8476 0.8334 0.8071 0.7846
8400 0.8459 0.8299 0.8045 0.7701
8500 0.8520 0.8370 0.7992 0.7750
8600 0.8504 0.8384 0.8044 0.7812
8700 0.8504 0.8360 0.8043 0.7782
8800 0.8541 0.8457 0.8051 0.7846
8900 0.8503 0.8364 0.8008 0.7723
9000 0.8487 0.8302 0.8101 0.7790
9100 0.8493 0.8368 0.8030 0.7746
9200 0.8466 0.8356 0.8121 0.7904
9300 0.8534 0.8424 0.8090 0.7903
9400 0.8551 0.8441 0.8138 0.7947
9500 0.8562 0.8459 0.8036 0.7824
9600 0.8539 0.8431 0.8104 0.7904
9700 0.8570 0.8460 0.8114 0.7927
9800 0.8588 0.8497 0.8133 0.7823
9900 0.8480 0.8384 0.8196 0.7887
