# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.0407 0.0157 0.0662 0.0317
100 0.1549 0.0861 0.1489 0.0607
200 0.1295 0.0709 0.1618 0.0758
300 0.1330 0.0460 0.1000 0.0633
400 0.2272 0.1411 0.1704 0.0537
500 0.2925 0.2063 0.2282 0.1199
600 0.5170 0.4527 0.2941 0.1938
700 0.2975 0.2274 0.2288 0.1390
800 0.7011 0.6686 0.4254 0.3386
900 0.7490 0.7299 0.4569 0.3640
1000 0.7770 0.7484 0.5186 0.4548
1100 0.7363 0.7278 0.5141 0.4589
1200 0.7209 0.7037 0.4807 0.4178
1300 0.7829 0.7635 0.5317 0.4670
1400 0.7226 0.7130 0.4956 0.4396
1500 0.7880 0.7542 0.5876 0.5156
1600 0.8006 0.7809 0.6024 0.5548
1700 0.7939 0.7778 0.6159 0.5676
1800 0.8033 0.7797 0.6137 0.5570
1900 0.8110 0.7910 0.6341 0.5815
2000 0.8056 0.7788 0.6417 0.5975
2100 0.8157 0.7924 0.6469 0.6005
2200 0.8022 0.7833 0.6745 0.6199
2300 0.8278 0.8109 0.6794 0.6250
2400 0.8294 0.8143 0.6941 0.6556
2500 0.8155 0.7924 0.6960 0.6420
2600 0.8223 0.8061 0.7129 0.6685
2700 0.8197 0.8015 0.7151 0.6802
2800 0.8315 0.8163 0.7063 0.6684
2900 0.8372 0.8224 0.7210 0.6876
3000 0.8237 0.8084 0.7316 0.6986
3100 0.8349 0.8169 0.7389 0.6970
3200 0.8342 0.8217 0.7437 0.7004
3300 0.8351 0.8190 0.7499 0.7230
3400 0.8200 0.7998 0.7287 0.6825
3500 0.8264 0.8143 0.7555 0.7262
3600 0.8344 0.8157 0.7598 0.7183
3700 0.8416 0.8258 0.7590 0.7349
3800 0.8375 0.8236 0.7420 0.7130
3900 0.8422 0.8292 0.7706 0.7328
4000 0.8454 0.8327 0.7634 0.7246
4100 0.8479 0.8377 0.7797 0.7511
4200 0.8469 0.8323 0.7786 0.7401
4300 0.8437 0.8300 0.7727 0.7414
4400 0.8454 0.8344 0.7808 0.7526
4500 0.8504 0.8390 0.7879 0.7541
4600 0.8487 0.8329 0.7867 0.7608
4700 0.8517 0.8368 0.7949 0.7588
4800 0.8540 0.8408 0.7919 0.7672
4900 0.8538 0.8423 0.7943 0.7623
5000 0.8547 0.8428 0.7932 0.7561
5100 0.8504 0.8374 0.7960 0.7570
5200 0.8554 0.8451 0.8019 0.7805
5300 0.8500 0.8371 0.7887 0.7556
5400 0.8517 0.8388 0.7973 0.7663
5500 0.8576 0.8474 0.8065 0.7817
5600 0.8539 0.8420 0.8098 0.7765
5700 0.8541 0.8458 0.8157 0.7935
5800 0.8578 0.8482 0.8140 0.7920
5900 0.8577 0.8520 0.8146 0.7825
6000 0.8526 0.8414 0.8017 0.7690
6100 0.8575 0.8486 0.8179 0.7958
6200 0.8607 0.8523 0.8157 0.7895
6300 0.8593 0.8500 0.8138 0.7893
6400 0.8566 0.8475 0.8245 0.8038
6500 0.8558 0.8463 0.8142 0.7915
6600 0.8526 0.8437 0.8180 0.7855
6700 0.8628 0.8537 0.8177 0.7914
6800 0.8623 0.8527 0.8209 0.8021
6900 0.8634 0.8549 0.8252 0.8043
7000 0.8609 0.8472 0.8249 0.8060
7100 0.8627 0.8536 0.8291 0.8084
7200 0.8641 0.8552 0.8245 0.7929
7300 0.8585 0.8488 0.8247 0.8055
7400 0.8613 0.8540 0.8270 0.8073
7500 0.8594 0.8494 0.8315 0.8108
7600 0.8617 0.8522 0.8295 0.8095
7700 0.8638 0.8555 0.8328 0.8079
7800 0.8639 0.8545 0.8342 0.8147
7900 0.8632 0.8533 0.8382 0.8213
8000 0.8622 0.8561 0.8358 0.8152
8100 0.8638 0.8537 0.8350 0.8100
8200 0.8635 0.8539 0.8363 0.8194
8300 0.8690 0.8607 0.8394 0.8218
8400 0.8645 0.8582 0.8348 0.8067
8500 0.8641 0.8539 0.8353 0.8146
8600 0.8677 0.8603 0.8383 0.8218
8700 0.8618 0.8526 0.8315 0.8130
8800 0.8647 0.8557 0.8339 0.8157
8900 0.8627 0.8523 0.8285 0.8042
9000 0.8651 0.8583 0.8345 0.8117
9100 0.8707 0.8661 0.8358 0.8169
9200 0.8642 0.8570 0.8384 0.8206
9300 0.8674 0.8620 0.8363 0.8039
9400 0.8648 0.8548 0.8374 0.8127
9500 0.8651 0.8564 0.8279 0.7998
9600 0.8612 0.8559 0.8375 0.8116
9700 0.8630 0.8571 0.8477 0.8189
9800 0.8590 0.8556 0.8313 0.8078
9900 0.8726 0.8663 0.8425 0.8154
10000 0.8681 0.8618 0.8391 0.8147
10100 0.8645 0.8560 0.8375 0.8126
10200 0.8692 0.8628 0.8422 0.8243
10300 0.8702 0.8657 0.8440 0.8291
10400 0.8671 0.8625 0.8434 0.8159
10500 0.8718 0.8672 0.8458 0.8186
10600 0.8716 0.8642 0.8444 0.8215
10700 0.8703 0.8646 0.8441 0.8184
10800 0.8703 0.8636 0.8464 0.8235
10900 0.8627 0.8516 0.8470 0.8214
11000 0.8692 0.8625 0.8415 0.8143
11100 0.8724 0.8663 0.8519 0.8369
11200 0.8657 0.8591 0.8469 0.8282
11300 0.8614 0.8529 0.8467 0.8301
11400 0.8673 0.8589 0.8463 0.8202
11500 0.8695 0.8653 0.8542 0.8263
11600 0.8676 0.8622 0.8444 0.8175
11700 0.8664 0.8632 0.8399 0.8212
11800 0.8720 0.8664 0.8479 0.8302
11900 0.8657 0.8607 0.8468 0.8292
12000 0.8700 0.8669 0.8464 0.8197
12100 0.8753 0.8724 0.8468 0.8233
