# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.0359 0.0186 0.0727 0.0254
100 0.2419 0.1392 0.2140 0.1107
200 0.3012 0.2128 0.2230 0.0951
300 0.5045 0.4477 0.2499 0.1202
400 0.5982 0.5484 0.3096 0.1948
500 0.6998 0.6555 0.3361 0.2178
600 0.7090 0.6686 0.3672 0.2635
700 0.7218 0.6889 0.4269 0.3256
800 0.7349 0.6937 0.4414 0.3451
900 0.7486 0.7180 0.4612 0.3937
1000 0.7450 0.7132 0.5106 0.4476
1100 0.7625 0.7290 0.5349 0.4539
1200 0.7676 0.7412 0.5247 0.4569
1300 0.7667 0.7356 0.5705 0.5001
1400 0.7848 0.7529 0.5917 0.5289
1500 0.7905 0.7655 0.6109 0.5604
1600 0.7921 0.7716 0.6242 0.5645
1700 0.7905 0.7660 0.6316 0.5907
1800 0.7922 0.7709 0.6413 0.5888
1900 0.7972 0.7738 0.6535 0.6118
2000 0.8014 0.7795 0.6799 0.6271
2100 0.8114 0.7866 0.6717 0.6288
2200 0.8057 0.7809 0.6992 0.6458
2300 0.8116 0.7902 0.6973 0.6668
2400 0.8117 0.7943 0.6949 0.6624
2500 0.8169 0.7936 0.7198 0.6872
2600 0.7990 0.7756 0.7321 0.6995
2700 0.8113 0.7848 0.7470 0.7168
2800 0.8189 0.7954 0.7455 0.7037
2900 0.8248 0.8049 0.7561 0.7281
3000 0.8170 0.7995 0.7432 0.7153
3100 0.8158 0.7915 0.7401 0.7006
3200 0.8306 0.8151 0.7622 0.7207
3300 0.8301 0.8110 0.7894 0.7540
3400 0.8236 0.8069 0.7861 0.7608
3500 0.8288 0.8126 0.7956 0.7662
3600 0.8351 0.8197 0.7736 0.7422
3700 0.8348 0.8159 0.7881 0.7557
3800 0.8274 0.8093 0.8139 0.7809
3900 0.8323 0.8149 0.8052 0.7864
4000 0.8391 0.8241 0.7935 0.7656
4100 0.8337 0.8171 0.8098 0.7886
4200 0.8350 0.8166 0.8174 0.7848
4300 0.8370 0.8215 0.8262 0.8006
4400 0.8348 0.8177 0.8306 0.8126
4500 0.8418 0.8274 0.8286 0.8112
4600 0.8408 0.8226 0.8352 0.8179
4700 0.8400 0.8240 0.8359 0.8074
4800 0.8440 0.8267 0.8192 0.7958
4900 0.8438 0.8282 0.8311 0.8019
5000 0.8445 0.8282 0.8351 0.8059
5100 0.8481 0.8317 0.8491 0.8330
5200 0.8506 0.8381 0.8335 0.8081
5300 0.8484 0.8347 0.8493 0.8281
5400 0.8421 0.8291 0.8522 0.8379
5500 0.8398 0.8239 0.8448 0.8221
5600 0.8428 0.8285 0.8487 0.8223
5700 0.8477 0.8346 0.8557 0.8422
5800 0.8486 0.8396 0.8531 0.8279
5900 0.8496 0.8383 0.8562 0.8317
6000 0.8522 0.8394 0.8589 0.8460
6100 0.8496 0.8378 0.8541 0.8396
6200 0.8473 0.8363 0.8638 0.8403
6300 0.8559 0.8467 0.8577 0.8376
6400 0.8516 0.8384 0.8578 0.8338
6500 0.8570 0.8463 0.8660 0.8537
6600 0.8561 0.8460 0.8608 0.8417
6700 0.8571 0.8456 0.8680 0.8552
6800 0.8569 0.8456 0.8622 0.8397
6900 0.8567 0.8464 0.8604 0.8379
7000 0.8554 0.8443 0.8711 0.8603
7100 0.8443 0.8285 0.8676 0.8579
7200 0.8579 0.8441 0.8672 0.8452
7300 0.8580 0.8481 0.8778 0.8668
7400 0.8566 0.8463 0.8715 0.8607
7500 0.8545 0.8425 0.8772 0.8682
7600 0.8594 0.8490 0.8772 0.8687
7700 0.8622 0.8524 0.8775 0.8671
7800 0.8602 0.8507 0.8663 0.8448
7900 0.8618 0.8516 0.8754 0.8648
8000 0.8592 0.8488 0.8829 0.8718
8100 0.8636 0.8550 0.8737 0.8617
8200 0.8606 0.8496 0.8746 0.8584
8300 0.8577 0.8456 0.8742 0.8635
8400 0.8621 0.8514 0.8752 0.8642
8500 0.8623 0.8509 0.8787 0.8700
8600 0.8625 0.8516 0.8809 0.8718
8700 0.8533 0.8427 0.8786 0.8585
8800 0.8534 0.8390 0.8829 0.8739
8900 0.8609 0.8486 0.8790 0.8578
9000 0.8626 0.8535 0.8820 0.8726
9100 0.8631 0.8556 0.8804 0.8654
9200 0.8637 0.8530 0.8809 0.8714
9300 0.8523 0.8396 0.8837 0.8643
9400 0.8673 0.8582 0.8808 0.8611
9500 0.8653 0.8557 0.8834 0.8752
9600 0.8590 0.8508 0.8815 0.8738
9700 0.8636 0.8549 0.8853 0.8755
9800 0.8608 0.8478 0.8817 0.8717
9900 0.8680 0.8587 0.8850 0.8752
