# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.0604 0.0136 0.0940 0.0449
100 0.1211 0.0532 0.1726 0.0864
200 0.1590 0.0726 0.1432 0.0481
300 0.2903 0.2163 0.1555 0.0669
400 0.2397 0.1632 0.1539 0.0865
500 0.5833 0.5432 0.2244 0.1625
600 0.7128 0.6883 0.3479 0.2770
700 0.6893 0.6633 0.3765 0.2759
800 0.7441 0.7242 0.5115 0.4397
900 0.7575 0.7307 0.5438 0.4750
1000 0.7804 0.7516 0.5925 0.5402
1100 0.7638 0.7445 0.5783 0.5221
1200 0.7985 0.7728 0.6477 0.5816
1300 0.7440 0.7206 0.6147 0.5645
1400 0.7999 0.7771 0.6865 0.6450
1500 0.8012 0.7788 0.6659 0.6256
1600 0.8034 0.7850 0.7156 0.6795
1700 0.8080 0.7811 0.7205 0.6892
1800 0.8195 0.8024 0.7248 0.6791
1900 0.8200 0.7958 0.7455 0.7164
2000 0.8109 0.7886 0.7367 0.7018
2100 0.8152 0.7906 0.7190 0.6763
2200 0.8284 0.8125 0.7269 0.6891
2300 0.8290 0.8124 0.7814 0.7460
2400 0.8146 0.7872 0.7432 0.7085
2500 0.8127 0.7994 0.7826 0.7459
2600 0.8302 0.8137 0.8128 0.7785
2700 0.8312 0.8107 0.8150 0.7926
2800 0.8355 0.8204 0.8196 0.7910
2900 0.8357 0.8202 0.8032 0.7788
3000 0.8329 0.8124 0.8161 0.7901
3100 0.8269 0.8124 0.8191 0.7901
3200 0.8381 0.8221 0.8272 0.8073
3300 0.8316 0.8114 0.8221 0.7942
3400 0.8414 0.8257 0.8283 0.8093
3500 0.8390 0.8249 0.8069 0.7796
3600 0.8463 0.8306 0.8462 0.8276
3700 0.8426 0.8300 0.8354 0.8087
3800 0.8502 0.8352 0.8458 0.8271
3900 0.8474 0.8331 0.8549 0.8309
4000 0.8467 0.8325 0.8452 0.8231
4100 0.8467 0.8304 0.8604 0.8383
4200 0.8512 0.8404 0.8549 0.8320
4300 0.8561 0.8435 0.8653 0.8519
4400 0.8506 0.8385 0.8593 0.8454
4500 0.8507 0.8366 0.8697 0.8469
4600 0.8506 0.8423 0.8710 0.8483
4700 0.8561 0.8451 0.8688 0.8566
4800 0.8549 0.8453 0.8787 0.8679
4900 0.8600 0.8501 0.8690 0.8442
5000 0.8615 0.8510 0.8760 0.8579
5100 0.8579 0.8477 0.8732 0.8615
5200 0.8579 0.8451 0.8846 0.8742
5300 0.8581 0.8473 0.8827 0.8657
5400 0.8599 0.8463 0.8761 0.8555
5500 0.8570 0.8507 0.8731 0.8541
5600 0.8537 0.8431 0.8534 0.8319
5700 0.8580 0.8505 0.8864 0.8750
