# Epoch  AAaccuracy Af1 UAccuracy Uf1
1 0.8020 0.7814 0.6689 0.6121
2 0.8354 0.8127 0.7498 0.7156
3 0.8537 0.8408 0.7960 0.7633
4 0.8619 0.8504 0.8327 0.8013
5 0.8632 0.8542 0.8426 0.8132
6 0.8625 0.8529 0.8529 0.8378
7 0.8696 0.8645 0.8373 0.8296
8 0.8734 0.8644 0.8569 0.8362
9 0.8766 0.8722 0.8621 0.8385
10 0.8783 0.8741 0.8545 0.8314
11 0.8767 0.8726 0.8627 0.8381
12 0.8808 0.8763 0.8661 0.8528
13 0.8845 0.8826 0.8541 0.8344
14 0.8814 0.8788 0.8719 0.8531
15 0.8797 0.8763 0.8710 0.8605
16 0.8850 0.8825 0.8767 0.8640
17 0.8857 0.8839 0.8753 0.8535
18 0.8897 0.8884 0.8745 0.8517
19 0.8859 0.8864 0.8796 0.8680
20 0.8883 0.8878 0.8730 0.8556
21 0.8891 0.8903 0.8761 0.8556
22 0.8841 0.8803 0.8781 0.8609
23 0.8880 0.8862 0.8762 0.8663
24 0.8899 0.8898 0.8842 0.8682
25 0.8894 0.8900 0.8821 0.8595
26 0.8855 0.8836 0.8720 0.8567
27 0.8842 0.8847 0.8739 0.8624
28 0.8875 0.8841 0.8859 0.8755
29 0.8910 0.8916 0.8763 0.8682
30 0.8878 0.8883 0.8812 0.8628
31 0.8932 0.8928 0.8772 0.8578
32 0.8918 0.8932 0.8859 0.8763
33 0.8882 0.8868 0.8843 0.8734
34 0.8916 0.8925 0.8857 0.8644
35 0.8893 0.8900 0.8811 0.8598
36 0.8884 0.8873 0.8809 0.8600
37 0.8895 0.8899 0.8885 0.8684
38 0.8924 0.8931 0.8875 0.8686
39 0.8910 0.8898 0.8856 0.8677
40 0.8932 0.8910 0.8869 0.8762
41 0.8916 0.8916 0.8906 0.8819
42 0.8924 0.8921 0.8902 0.8807
43 0.8945 0.8966 0.8909 0.8810
44 0.8925 0.8928 0.8774 0.8671
45 0.8940 0.8953 0.8885 0.8696
46 0.8936 0.8943 0.8843 0.8769
47 0.8934 0.8938 0.8873 0.8687
48 0.8865 0.8847 0.8903 0.8798
49 0.8924 0.8922 0.8816 0.8729
50 0.8954 0.8969 0.8932 0.8756
51 0.8894 0.8928 0.8863 0.8804
52 0.8893 0.8899 0.8858 0.8674
53 0.8929 0.8941 0.8839 0.8715
54 0.8941 0.8957 0.8937 0.8763
55 0.8899 0.8875 0.8916 0.8721
56 0.8909 0.8884 0.8914 0.8828
57 0.8899 0.8916 0.8865 0.8687
58 0.8931 0.8933 0.8914 0.8825
59 0.8912 0.8914 0.8907 0.8711
60 0.8941 0.8945 0.8825 0.8640
61 0.8895 0.8909 0.8863 0.8763
62 0.8880 0.8873 0.8861 0.8710
63 0.8927 0.8931 0.8887 0.8772
64 0.8961 0.8970 0.8797 0.8636
65 0.8916 0.8936 0.8889 0.8785
66 0.8959 0.8980 0.8834 0.8655
67 0.8921 0.8960 0.8862 0.8657
68 0.8917 0.8899 0.8774 0.8648
69 0.8920 0.8930 0.8890 0.8691
70 0.8923 0.8942 0.8848 0.8729
71 0.8890 0.8902 0.8870 0.8756
72 0.8946 0.8946 0.8930 0.8754
73 0.8984 0.9007 0.8844 0.8705
74 0.8955 0.8963 0.8901 0.8811
75 0.8919 0.8904 0.8877 0.8723
76 0.8938 0.8965 0.8902 0.8788
77 0.8932 0.8946 0.8993 0.8905
78 0.8928 0.8942 0.8868 0.8700
79 0.8923 0.8925 0.8873 0.8697
80 0.8920 0.8934 0.8959 0.8861
81 0.8951 0.8954 0.8899 0.8711
82 0.8920 0.8941 0.8928 0.8843
83 0.8957 0.8983 0.8906 0.8804
84 0.8933 0.8939 0.8878 0.8730
85 0.8949 0.8965 0.8896 0.8799
86 0.8907 0.8926 0.8901 0.8714
87 0.8940 0.8949 0.8939 0.8836
88 0.8947 0.8967 0.8919 0.8815
89 0.8951 0.8973 0.8912 0.8721
90 0.8910 0.8900 0.8957 0.8859
91 0.8930 0.8950 0.8889 0.8791
92 0.8953 0.8964 0.8945 0.8858
93 0.8887 0.8901 0.8879 0.8704
94 0.8941 0.8942 0.8905 0.8804
95 0.8967 0.9000 0.8986 0.8891
96 0.8929 0.8889 0.8958 0.8857
97 0.8962 0.8988 0.8942 0.8845
98 0.8923 0.8963 0.8946 0.8850
99 0.8902 0.8900 0.8903 0.8704
