# Epoch  AAaccuracy Af1 UAccuracy Uf1
1 0.4756 0.3189 0.1435 0.1212
2 0.4546 0.3148 0.0952 0.0703
3 0.4330 0.3250 0.1016 0.0829
4 0.6025 0.4530 0.1841 0.1697
5 0.6635 0.5867 0.3048 0.3162
6 0.7854 0.6981 0.5225 0.5251
7 0.9086 0.7833 0.5975 0.6005
8 0.9365 0.7893 0.6914 0.6907
9 0.9219 0.8075 0.6946 0.7007
10 0.9613 0.8478 0.7517 0.7535
11 0.9543 0.8129 0.7606 0.7623
12 0.9562 0.8225 0.7727 0.7730
13 0.9625 0.8443 0.7924 0.7939
14 0.9530 0.7989 0.7886 0.7875
15 0.9606 0.8577 0.7962 0.7932
16 0.9575 0.8308 0.8095 0.8086
17 0.9587 0.8414 0.8070 0.8046
18 0.9613 0.8316 0.8121 0.8119
19 0.9606 0.8392 0.8000 0.7993
20 0.9606 0.8354 0.8063 0.8045
21 0.9556 0.8105 0.8387 0.8390
22 0.9606 0.8373 0.8381 0.8367
23 0.9613 0.8197 0.8165 0.8142
24 0.9632 0.8359 0.8235 0.8217
25 0.9606 0.8445 0.7784 0.7798
26 0.9657 0.8567 0.8451 0.8441
27 0.9619 0.8279 0.8165 0.8141
28 0.9683 0.8538 0.8432 0.8418
29 0.9670 0.8467 0.8413 0.8407
30 0.9670 0.8544 0.8298 0.8299
31 0.9619 0.8513 0.8254 0.8238
32 0.9613 0.8171 0.8489 0.8467
33 0.9676 0.8429 0.8356 0.8343
34 0.9695 0.8394 0.8432 0.8421
35 0.9625 0.8498 0.8413 0.8412
36 0.9708 0.8758 0.8343 0.8324
37 0.9651 0.8408 0.8514 0.8508
38 0.9708 0.8573 0.8540 0.8529
39 0.9638 0.8527 0.8330 0.8303
40 0.9670 0.8393 0.8368 0.8352
41 0.9663 0.8568 0.8444 0.8418
42 0.9638 0.8329 0.8375 0.8356
43 0.9644 0.8365 0.8565 0.8552
44 0.9657 0.8413 0.8559 0.8546
45 0.9683 0.8468 0.8559 0.8558
46 0.9702 0.8713 0.8368 0.8352
47 0.9657 0.8352 0.8438 0.8429
48 0.9587 0.8120 0.8476 0.8461
49 0.9670 0.8261 0.8629 0.8610
50 0.9581 0.8224 0.8406 0.8390
51 0.9708 0.8664 0.8483 0.8482
52 0.9670 0.8395 0.8502 0.8483
53 0.9625 0.8486 0.8197 0.8223
54 0.9727 0.8624 0.8584 0.8576
55 0.9676 0.8423 0.8502 0.8485
56 0.9670 0.8496 0.8400 0.8413
57 0.9676 0.8309 0.8502 0.8499
58 0.9714 0.8596 0.8578 0.8557
59 0.9689 0.8509 0.8552 0.8562
60 0.9695 0.8725 0.8425 0.8430
61 0.9663 0.8457 0.8419 0.8413
62 0.9638 0.8440 0.8559 0.8548
63 0.9670 0.8482 0.8413 0.8432
64 0.9695 0.8500 0.8629 0.8636
65 0.9663 0.8254 0.8667 0.8648
66 0.9657 0.8582 0.8559 0.8559
67 0.9657 0.8531 0.8565 0.8568
68 0.9657 0.8461 0.8451 0.8447
69 0.9689 0.8477 0.8571 0.8568
70 0.9702 0.8839 0.8457 0.8438
71 0.9676 0.8681 0.8616 0.8602
72 0.9714 0.8789 0.8603 0.8590
73 0.9714 0.8706 0.8597 0.8586
74 0.9676 0.8389 0.8698 0.8668
75 0.9676 0.8582 0.8324 0.8312
76 0.9708 0.8492 0.8432 0.8414
77 0.9663 0.8408 0.8406 0.8385
78 0.9714 0.8443 0.8698 0.8690
79 0.9740 0.8780 0.8273 0.8254
80 0.9708 0.8479 0.8444 0.8431
81 0.9638 0.8220 0.8540 0.8506
82 0.9676 0.8508 0.8419 0.8415
83 0.9683 0.8636 0.8565 0.8550
84 0.9721 0.8591 0.8419 0.8406
85 0.9727 0.8662 0.8552 0.8527
86 0.9676 0.8524 0.8641 0.8622
87 0.9714 0.8574 0.8552 0.8543
88 0.9689 0.8367 0.8705 0.8675
89 0.9689 0.8539 0.8527 0.8506
90 0.9721 0.8683 0.8692 0.8686
91 0.7460 0.6266 0.8654 0.8623
92 0.9708 0.8676 0.8432 0.8415
93 0.9695 0.8505 0.8298 0.8286
94 0.9587 0.8168 0.8406 0.8387
95 0.9714 0.8644 0.8260 0.8255
96 0.9676 0.8459 0.8571 0.8552
97 0.9663 0.8396 0.8660 0.8643
98 0.9721 0.8696 0.8451 0.8457
99 0.9638 0.8206 0.8540 0.8528
