# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.4946 0.2213 0.0330 0.0066
100 0.6400 0.5401 0.1867 0.1667
200 0.9060 0.7814 0.3498 0.3335
300 0.8952 0.7355 0.4990 0.4822
400 0.9390 0.8091 0.6025 0.5977
500 0.8990 0.8102 0.5994 0.5944
600 0.9448 0.8335 0.6463 0.6387
700 0.9517 0.8310 0.6584 0.6570
800 0.9492 0.8027 0.6648 0.6610
900 0.9435 0.7971 0.7130 0.7054
1000 0.9587 0.8455 0.7035 0.6986
1100 0.9517 0.8142 0.7365 0.7322
1200 0.9575 0.8421 0.7390 0.7372
1300 0.9587 0.8664 0.7454 0.7399
1400 0.9505 0.8434 0.7524 0.7451
1500 0.9486 0.8681 0.7752 0.7693
1600 0.9479 0.8104 0.7644 0.7569
1700 0.9644 0.8717 0.7657 0.7622
1800 0.9632 0.8464 0.8070 0.8017
1900 0.9606 0.8380 0.7613 0.7562
2000 0.9549 0.8519 0.8057 0.8016
2100 0.9587 0.8507 0.7594 0.7548
2200 0.9632 0.8746 0.8032 0.7995
2300 0.9657 0.8591 0.7962 0.7917
2400 0.9638 0.8338 0.8070 0.8038
2500 0.9568 0.8538 0.8216 0.8175
2600 0.9663 0.8858 0.8210 0.8154
2700 0.9600 0.8436 0.7924 0.7896
2800 0.9594 0.8453 0.8210 0.8169
2900 0.9663 0.8598 0.7759 0.7736
3000 0.9613 0.8792 0.8190 0.8154
3100 0.9619 0.8391 0.8317 0.8288
3200 0.9562 0.8565 0.8121 0.8084
3300 0.9721 0.8962 0.8248 0.8211
3400 0.9606 0.8452 0.8184 0.8171
3500 0.9695 0.8807 0.8330 0.8299
3600 0.9651 0.8640 0.8222 0.8203
3700 0.9594 0.8517 0.8292 0.8259
3800 0.9702 0.8838 0.8362 0.8315
3900 0.9657 0.8730 0.8343 0.8313
4000 0.9727 0.8792 0.8343 0.8312
4100 0.9600 0.8264 0.8375 0.8363
4200 0.9683 0.8786 0.8476 0.8449
4300 0.9663 0.8420 0.8514 0.8479
4400 0.9695 0.8753 0.8540 0.8511
4500 0.9683 0.8840 0.8216 0.8184
4600 0.9670 0.8667 0.8229 0.8187
4700 0.9619 0.8729 0.8413 0.8370
4800 0.9676 0.8704 0.8483 0.8442
4900 0.9689 0.8626 0.8489 0.8460
5000 0.9708 0.8822 0.8514 0.8480
5100 0.9702 0.8745 0.8438 0.8414
5200 0.9683 0.8749 0.8451 0.8429
5300 0.9676 0.8780 0.8597 0.8578
5400 0.9676 0.8585 0.8559 0.8535
5500 0.9632 0.8555 0.8438 0.8424
5600 0.9651 0.8520 0.8489 0.8462
5700 0.9638 0.8439 0.8489 0.8480
5800 0.9683 0.8642 0.8463 0.8447
5900 0.9683 0.8563 0.8508 0.8471
6000 0.9651 0.8560 0.8483 0.8444
6100 0.9689 0.8867 0.8470 0.8448
6200 0.9702 0.8748 0.8508 0.8488
6300 0.9600 0.8468 0.8648 0.8607
6400 0.9670 0.8730 0.8489 0.8475
6500 0.9689 0.8842 0.8406 0.8381
6600 0.9695 0.8773 0.8622 0.8588
6700 0.9638 0.8557 0.8489 0.8471
6800 0.9695 0.8845 0.8483 0.8462
6900 0.9714 0.8822 0.8559 0.8532
7000 0.9727 0.8892 0.8629 0.8610
7100 0.9771 0.9109 0.8508 0.8476
7200 0.9619 0.8937 0.8629 0.8610
7300 0.9740 0.9036 0.8648 0.8626
7400 0.9733 0.9067 0.8514 0.8498
7500 0.9746 0.9004 0.8603 0.8600
7600 0.9708 0.8855 0.8514 0.8477
7700 0.9708 0.8857 0.8654 0.8635
7800 0.9702 0.8872 0.8559 0.8540
7900 0.9733 0.9010 0.8565 0.8552
8000 0.9676 0.8757 0.8489 0.8469
8100 0.9721 0.8811 0.8603 0.8577
8200 0.9695 0.8782 0.8578 0.8544
8300 0.9663 0.8549 0.8533 0.8510
8400 0.9670 0.8733 0.8571 0.8539
8500 0.9689 0.8737 0.8495 0.8480
8600 0.9670 0.8611 0.8483 0.8452
8700 0.9689 0.8633 0.8241 0.8232
8800 0.9708 0.8723 0.8610 0.8584
8900 0.9676 0.8966 0.8552 0.8529
9000 0.9727 0.9027 0.8641 0.8632
9100 0.9524 0.8209 0.8451 0.8448
9200 0.9670 0.8773 0.8559 0.8541
9300 0.9676 0.8706 0.8660 0.8644
9400 0.9670 0.8501 0.8571 0.8564
9500 0.9676 0.8765 0.8597 0.8580
9600 0.9689 0.8947 0.8514 0.8485
9700 0.9695 0.8864 0.8584 0.8559
9800 0.9689 0.8821 0.8686 0.8660
9900 0.9714 0.8892 0.8635 0.8611
