# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.3744 0.1930 0.0520 0.0229
100 0.3820 0.1882 0.0749 0.0447
200 0.3826 0.1846 0.0717 0.0371
300 0.3122 0.1388 0.0857 0.0678
400 0.4651 0.2281 0.1282 0.1060
500 0.8109 0.7012 0.4283 0.4223
600 0.9277 0.8317 0.6123 0.6168
700 0.9378 0.8138 0.6409 0.6436
800 0.9562 0.8592 0.7411 0.7394
900 0.9556 0.8391 0.7709 0.7661
1000 0.9581 0.8508 0.7227 0.7227
1100 0.9530 0.8173 0.7659 0.7628
1200 0.9448 0.8164 0.7145 0.7185
1300 0.9664 0.8705 0.7836 0.7823
1400 0.9632 0.8530 0.7925 0.7929
1500 0.9594 0.8070 0.7671 0.7659
1600 0.9645 0.8444 0.7874 0.7858
1700 0.9607 0.8458 0.8185 0.8165
1800 0.9645 0.8593 0.8103 0.8113
1900 0.9619 0.8489 0.7817 0.7813
2000 0.9613 0.8688 0.8166 0.8154
2100 0.9651 0.8508 0.8420 0.8417
2200 0.9600 0.8428 0.8268 0.8268
2300 0.9613 0.8664 0.8115 0.8085
2400 0.9562 0.8616 0.8585 0.8575
2500 0.9537 0.8643 0.8077 0.8063
2600 0.9695 0.8581 0.8471 0.8460
2700 0.9569 0.8429 0.8357 0.8347
2800 0.9689 0.8746 0.8395 0.8391
2900 0.9664 0.8762 0.8560 0.8557
3000 0.9613 0.8558 0.8439 0.8443
3100 0.9657 0.8516 0.8566 0.8573
3200 0.9708 0.8814 0.8629 0.8624
3300 0.9702 0.8603 0.8407 0.8415
3400 0.9714 0.8691 0.8560 0.8552
3500 0.9695 0.8792 0.8560 0.8559
3600 0.9676 0.8672 0.8655 0.8631
3700 0.9537 0.8569 0.8407 0.8391
3800 0.9708 0.8632 0.8655 0.8652
3900 0.9721 0.8733 0.8648 0.8628
4000 0.9670 0.8656 0.8598 0.8581
4100 0.9695 0.8736 0.8572 0.8568
4200 0.9651 0.8284 0.8528 0.8502
4300 0.9657 0.8627 0.8585 0.8578
4400 0.9619 0.8365 0.8661 0.8661
4500 0.9734 0.8806 0.8636 0.8622
4600 0.9708 0.8710 0.8541 0.8530
4700 0.9619 0.8587 0.8598 0.8614
4800 0.9645 0.8536 0.8661 0.8639
4900 0.9708 0.8928 0.8680 0.8670
5000 0.9702 0.8700 0.8636 0.8622
