# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.2302 0.0911 0.0430 0.0142
100 0.1860 0.1445 0.3058 0.2323
200 0.4314 0.3960 0.3465 0.3155
300 0.4523 0.4344 0.4698 0.4594
400 0.8337 0.7863 0.7128 0.7163
500 0.8628 0.8315 0.7977 0.8089
600 0.8767 0.8503 0.7872 0.8002
700 0.9198 0.8999 0.7593 0.7677
800 0.8872 0.8632 0.8174 0.8254
900 0.8965 0.8724 0.8221 0.8335
1000 0.8802 0.8501 0.8291 0.8404
1100 0.9314 0.9117 0.8372 0.8458
1200 0.9116 0.8922 0.8663 0.8756
1300 0.9128 0.8944 0.8581 0.8650
1400 0.9279 0.9072 0.8616 0.8682
1500 0.9070 0.8826 0.8547 0.8616
1600 0.9151 0.8912 0.8581 0.8666
1700 0.9256 0.9071 0.8477 0.8572
1800 0.9093 0.8845 0.8605 0.8635
1900 0.9198 0.8953 0.8640 0.8673
2000 0.9337 0.9142 0.8721 0.8803
2100 0.9209 0.8988 0.8651 0.8719
2200 0.9360 0.9170 0.8686 0.8774
2300 0.9093 0.8830 0.8733 0.8809
2400 0.8977 0.8743 0.8686 0.8739
2500 0.9186 0.8947 0.8500 0.8547
2600 0.9244 0.9021 0.8651 0.8733
2700 0.8965 0.8685 0.8442 0.8497
2800 0.9000 0.8763 0.8651 0.8712
2900 0.9244 0.9039 0.8523 0.8606
3000 0.9279 0.9095 0.8581 0.8661
3100 0.9267 0.9055 0.8558 0.8629
3200 0.9349 0.9136 0.8674 0.8736
3300 0.9291 0.9100 0.8767 0.8819
3400 0.9163 0.8948 0.8686 0.8745
3500 0.9035 0.8772 0.8686 0.8774
3600 0.9279 0.9067 0.8651 0.8742
3700 0.9198 0.8963 0.8628 0.8683
3800 0.9186 0.8992 0.8616 0.8678
3900 0.9081 0.8804 0.8651 0.8735
4000 0.9267 0.9057 0.8581 0.8678
4100 0.9314 0.9119 0.8686 0.8795
4200 0.9384 0.9198 0.8488 0.8562
4300 0.9349 0.9160 0.8605 0.8704
4400 0.9337 0.9123 0.8616 0.8686
4500 0.9326 0.9123 0.8709 0.8776
4600 0.9233 0.9029 0.8488 0.8581
4700 0.9302 0.9086 0.8779 0.8844
4800 0.9291 0.9067 0.8628 0.8726
4900 0.9279 0.9065 0.8663 0.8751
5000 0.9198 0.8985 0.8581 0.8671
5100 0.9360 0.9178 0.8500 0.8565
5200 0.9349 0.9178 0.8500 0.8574
5300 0.9291 0.9099 0.8791 0.8867
5400 0.9407 0.9221 0.8756 0.8834
5500 0.9291 0.9089 0.8581 0.8658
5600 0.9256 0.9054 0.8663 0.8760
5700 0.9256 0.9079 0.8535 0.8637
5800 0.9372 0.9163 0.8581 0.8640
5900 0.9233 0.9014 0.8733 0.8841
6000 0.9337 0.9142 0.8605 0.8684
6100 0.9372 0.9208 0.8826 0.8916
6200 0.9360 0.9178 0.8779 0.8847
6300 0.9221 0.9054 0.8698 0.8791
6400 0.9326 0.9121 0.8651 0.8742
6500 0.9279 0.9068 0.8605 0.8683
6600 0.9337 0.9138 0.8628 0.8691
6700 0.9291 0.9059 0.8756 0.8822
6800 0.9267 0.9056 0.8744 0.8841
6900 0.9395 0.9224 0.8547 0.8629
7000 0.9233 0.9017 0.8674 0.8764
7100 0.9279 0.9063 0.8605 0.8683
7200 0.9267 0.9035 0.8767 0.8836
7300 0.9360 0.9155 0.8814 0.8912
7400 0.9349 0.9152 0.8849 0.8915
7500 0.9337 0.9146 0.8779 0.8850
7600 0.9151 0.8882 0.8616 0.8700
7700 0.9314 0.9131 0.8744 0.8844
7800 0.9244 0.9053 0.8733 0.8838
7900 0.9302 0.9115 0.8674 0.8766
8000 0.9244 0.9030 0.8756 0.8836
8100 0.9233 0.9085 0.8651 0.8738
8200 0.9372 0.9172 0.8814 0.8879
8300 0.9430 0.9284 0.8756 0.8841
8400 0.9372 0.9199 0.8674 0.8764
8500 0.9395 0.9221 0.8767 0.8821
8600 0.9349 0.9149 0.8779 0.8851
8700 0.9360 0.9179 0.8721 0.8752
8800 0.9233 0.9046 0.8733 0.8803
8900 0.9279 0.9064 0.8663 0.8716
9000 0.9267 0.9065 0.8802 0.8861
9100 0.9302 0.9111 0.8593 0.8666
9200 0.9291 0.9103 0.8744 0.8842
9300 0.9407 0.9222 0.8686 0.8783
9400 0.9291 0.9095 0.8849 0.8936
9500 0.9256 0.9030 0.8570 0.8653
9600 0.9279 0.9076 0.8802 0.8870
9700 0.9267 0.9054 0.8616 0.8685
9800 0.9337 0.9143 0.8791 0.8853
9900 0.9349 0.9161 0.8919 0.8995
