# Epoch  AAaccuracy Af1 UAccuracy Uf1
1 0.1070 0.0507 0.1698 0.1175
2 0.1337 0.1128 0.1453 0.1074
3 0.1872 0.1649 0.1349 0.0931
4 0.2093 0.2090 0.1465 0.1022
5 0.2698 0.2565 0.1919 0.1759
6 0.4802 0.4992 0.3000 0.2897
7 0.5849 0.5831 0.3372 0.3295
8 0.6733 0.6643 0.4256 0.4112
9 0.7465 0.7270 0.4837 0.4880
10 0.7884 0.7654 0.5198 0.5437
11 0.8198 0.8016 0.5709 0.5978
12 0.8256 0.8136 0.6337 0.6561
13 0.8535 0.8357 0.6244 0.6322
14 0.8802 0.8610 0.6953 0.7066
15 0.8698 0.8530 0.7128 0.7270
16 0.8930 0.8764 0.7023 0.7151
17 0.8872 0.8710 0.7221 0.7315
18 0.8756 0.8611 0.7674 0.7752
19 0.8965 0.8825 0.7674 0.7710
20 0.8744 0.8537 0.7686 0.7697
21 0.8942 0.8806 0.7721 0.7779
22 0.8640 0.8328 0.7907 0.7960
23 0.8965 0.8842 0.7663 0.7689
24 0.8872 0.8715 0.7558 0.7638
25 0.8884 0.8769 0.7674 0.7697
26 0.8849 0.8691 0.7465 0.7472
27 0.8826 0.8684 0.7744 0.7819
28 0.8767 0.8585 0.7419 0.7476
29 0.8930 0.8748 0.7814 0.7860
30 0.8919 0.8734 0.7593 0.7686
31 0.8919 0.8750 0.8012 0.8036
32 0.8709 0.8494 0.7791 0.7868
33 0.8942 0.8729 0.7826 0.7881
34 0.9047 0.8909 0.8093 0.8147
35 0.8965 0.8786 0.8151 0.8211
36 0.9093 0.8932 0.7884 0.7933
37 0.9070 0.8894 0.8058 0.8107
38 0.9093 0.8938 0.8140 0.8200
39 0.9105 0.8961 0.8105 0.8166
40 0.9023 0.8875 0.7988 0.8056
41 0.9035 0.8887 0.7953 0.7965
42 0.9151 0.8998 0.7651 0.7732
43 0.9105 0.8962 0.7977 0.8007
44 0.8942 0.8746 0.7721 0.7805
45 0.8791 0.8438 0.7872 0.7920
46 0.8756 0.8597 0.7837 0.7865
47 0.8849 0.8467 0.7953 0.8012
48 0.9116 0.8933 0.8058 0.8125
49 0.9244 0.9123 0.8000 0.8062
50 0.9047 0.8908 0.7767 0.7837
51 0.9035 0.8869 0.7965 0.8022
52 0.9012 0.8822 0.7895 0.7970
53 0.9000 0.8810 0.7826 0.7908
54 0.9093 0.8960 0.8093 0.8155
55 0.8872 0.8699 0.8140 0.8151
56 0.8965 0.8800 0.7860 0.7887
57 0.8977 0.8788 0.7640 0.7721
58 0.8977 0.8767 0.8198 0.8225
59 0.9221 0.9075 0.8093 0.8120
60 0.9128 0.8999 0.8244 0.8307
61 0.9081 0.8951 0.8128 0.8152
62 0.9058 0.8923 0.7860 0.7881
63 0.8826 0.8648 0.7674 0.7696
64 0.9081 0.8924 0.8000 0.8075
65 0.9093 0.8942 0.7965 0.8002
66 0.8988 0.8756 0.8093 0.8126
67 0.8965 0.8825 0.8035 0.8098
68 0.8953 0.8786 0.8000 0.8058
69 0.9023 0.8851 0.8186 0.8189
70 0.9174 0.9060 0.7930 0.7998
71 0.9163 0.9007 0.7849 0.7946
72 0.9116 0.8951 0.7733 0.7811
73 0.9198 0.9037 0.8384 0.8385
74 0.9221 0.9079 0.8023 0.8058
75 0.8547 0.8314 0.8360 0.8406
76 0.8907 0.8726 0.7930 0.7992
77 0.9105 0.8951 0.8105 0.8156
78 0.9128 0.8981 0.8093 0.8108
79 0.8860 0.8631 0.8244 0.8251
80 0.9093 0.8920 0.8058 0.8110
81 0.9093 0.8940 0.7663 0.7739
82 0.9105 0.8961 0.8105 0.8160
83 0.9209 0.9082 0.8081 0.8126
84 0.9081 0.8942 0.8105 0.8162
85 0.9105 0.8994 0.7977 0.8042
86 0.9035 0.8875 0.8012 0.8065
87 0.9174 0.9062 0.8035 0.8115
88 0.9233 0.9094 0.8058 0.8125
89 0.9093 0.8971 0.8012 0.8025
90 0.9070 0.8898 0.8140 0.8203
91 0.8872 0.8695 0.8000 0.8060
92 0.9047 0.8887 0.8151 0.8191
93 0.9209 0.9082 0.8279 0.8325
94 0.9116 0.8973 0.8163 0.8211
95 0.9012 0.8830 0.8233 0.8283
96 0.8988 0.8823 0.8035 0.8093
97 0.9035 0.8823 0.7849 0.7917
98 0.8930 0.8766 0.7953 0.8006
