# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.0779 0.0277 0.0442 0.0277
100 0.2093 0.1734 0.1035 0.0481
200 0.2140 0.2069 0.0721 0.0369
300 0.2895 0.2822 0.0791 0.0576
400 0.4093 0.3385 0.1663 0.1543
500 0.6895 0.6168 0.3977 0.3854
600 0.8663 0.8363 0.7093 0.7180
700 0.8919 0.8716 0.7326 0.7368
800 0.9198 0.8994 0.7953 0.7993
900 0.9163 0.8957 0.8326 0.8330
1000 0.9140 0.8986 0.8337 0.8348
1100 0.9302 0.9132 0.8512 0.8528
1200 0.9128 0.8956 0.8337 0.8379
1300 0.9291 0.9109 0.8209 0.8248
1400 0.9372 0.9232 0.8477 0.8527
1500 0.9198 0.9003 0.8640 0.8666
1600 0.9372 0.9223 0.8488 0.8512
1700 0.9419 0.9283 0.8360 0.8391
1800 0.9105 0.8895 0.7942 0.8007
1900 0.9221 0.9036 0.8384 0.8402
2000 0.9221 0.9038 0.8477 0.8513
2100 0.9419 0.9292 0.8477 0.8493
2200 0.9395 0.9263 0.8570 0.8594
2300 0.9279 0.9140 0.8349 0.8387
2400 0.9302 0.9139 0.8558 0.8562
2500 0.9442 0.9327 0.8523 0.8559
2600 0.9419 0.9279 0.8384 0.8437
2700 0.9326 0.9169 0.8430 0.8461
2800 0.9395 0.9258 0.8686 0.8719
2900 0.9209 0.9029 0.8407 0.8476
3000 0.9140 0.8949 0.8209 0.8259
3100 0.9430 0.9309 0.8570 0.8618
3200 0.9372 0.9263 0.8709 0.8744
3300 0.9360 0.9227 0.8523 0.8580
3400 0.9337 0.9201 0.8442 0.8498
3500 0.9419 0.9298 0.8640 0.8659
3600 0.9477 0.9365 0.8523 0.8555
3700 0.9419 0.9299 0.8453 0.8493
3800 0.9326 0.9160 0.8686 0.8725
3900 0.9209 0.9071 0.8453 0.8504
4000 0.9267 0.9122 0.8628 0.8646
4100 0.9314 0.9145 0.8581 0.8600
4200 0.9349 0.9206 0.8605 0.8662
4300 0.9372 0.9229 0.8570 0.8599
4400 0.9337 0.9176 0.8628 0.8663
4500 0.9430 0.9302 0.8442 0.8478
4600 0.9407 0.9265 0.8581 0.8623
4700 0.9372 0.9235 0.8465 0.8486
