# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.1337 0.0917 0.0744 0.0349
100 0.1721 0.1284 0.2779 0.2198
200 0.2279 0.1907 0.3256 0.2871
300 0.4360 0.4065 0.4081 0.3912
400 0.7453 0.7155 0.6709 0.6844
500 0.8500 0.8327 0.7267 0.7442
600 0.8686 0.8483 0.7326 0.7530
700 0.8477 0.8371 0.7814 0.7969
800 0.8349 0.8259 0.7802 0.7933
900 0.8895 0.8724 0.7988 0.8105
1000 0.9116 0.8938 0.7988 0.8124
1100 0.9186 0.9058 0.8093 0.8287
1200 0.9047 0.8904 0.8116 0.8259
1300 0.9128 0.8975 0.8058 0.8238
1400 0.9326 0.9212 0.8151 0.8248
1500 0.9209 0.9073 0.8326 0.8478
1600 0.9244 0.9126 0.8337 0.8432
1700 0.8953 0.8765 0.8372 0.8505
1800 0.9174 0.9004 0.8163 0.8244
1900 0.9267 0.9149 0.8337 0.8466
2000 0.9279 0.9172 0.8384 0.8528
2100 0.9047 0.8904 0.8291 0.8402
2200 0.9267 0.9150 0.8395 0.8505
2300 0.9163 0.9046 0.8256 0.8384
2400 0.9407 0.9318 0.8523 0.8623
2500 0.9221 0.9108 0.8384 0.8507
2600 0.9314 0.9209 0.8535 0.8644
2700 0.9395 0.9309 0.8279 0.8418
2800 0.9267 0.9159 0.8419 0.8549
2900 0.9372 0.9270 0.8535 0.8667
3000 0.9256 0.9151 0.8651 0.8763
3100 0.9291 0.9179 0.8488 0.8622
3200 0.9314 0.9198 0.8395 0.8537
3300 0.9209 0.9076 0.8453 0.8603
3400 0.9360 0.9256 0.8407 0.8550
3500 0.9442 0.9361 0.8372 0.8492
3600 0.9419 0.9325 0.8500 0.8632
3700 0.9314 0.9185 0.8512 0.8637
3800 0.9256 0.9141 0.8349 0.8498
3900 0.9337 0.9228 0.8488 0.8625
4000 0.9326 0.9227 0.8465 0.8613
4100 0.9384 0.9287 0.8547 0.8671
4200 0.9384 0.9289 0.8384 0.8519
4300 0.9314 0.9203 0.8512 0.8652
4400 0.9384 0.9272 0.8395 0.8532
4500 0.9302 0.9187 0.8488 0.8610
4600 0.9407 0.9307 0.8535 0.8669
4700 0.9360 0.9242 0.8500 0.8644
4800 0.9291 0.9171 0.8442 0.8590
4900 0.9349 0.9222 0.8453 0.8595
5000 0.9384 0.9281 0.8419 0.8529
5100 0.9360 0.9259 0.8535 0.8654
5200 0.9384 0.9297 0.8453 0.8576
5300 0.9384 0.9284 0.8395 0.8524
5400 0.9384 0.9269 0.8477 0.8623
5500 0.9349 0.9233 0.8500 0.8623
5600 0.9395 0.9292 0.8512 0.8636
5700 0.9395 0.9294 0.8477 0.8612
5800 0.9360 0.9254 0.8523 0.8660
5900 0.9349 0.9235 0.8477 0.8618
6000 0.9360 0.9250 0.8570 0.8685
6100 0.9360 0.9249 0.8430 0.8569
6200 0.9430 0.9330 0.8512 0.8642
6300 0.9384 0.9274 0.8465 0.8610
6400 0.9360 0.9245 0.8535 0.8659
6500 0.9384 0.9281 0.8430 0.8575
6600 0.9372 0.9265 0.8430 0.8584
6700 0.9384 0.9278 0.8465 0.8600
6800 0.9360 0.9258 0.8512 0.8654
6900 0.9360 0.9268 0.8465 0.8605
7000 0.9337 0.9211 0.8535 0.8659
7100 0.9349 0.9241 0.8558 0.8693
7200 0.9384 0.9278 0.8547 0.8676
7300 0.9337 0.9230 0.8570 0.8705
7400 0.9407 0.9299 0.8558 0.8691
7500 0.9384 0.9284 0.8442 0.8592
7600 0.9372 0.9272 0.8535 0.8681
7700 0.9372 0.9269 0.8535 0.8671
7800 0.9372 0.9272 0.8535 0.8675
7900 0.9372 0.9277 0.8547 0.8683
8000 0.9360 0.9248 0.8488 0.8618
8100 0.9384 0.9283 0.8500 0.8646
8200 0.9395 0.9295 0.8453 0.8589
8300 0.9372 0.9274 0.8535 0.8668
8400 0.9372 0.9272 0.8477 0.8618
8500 0.9314 0.9201 0.8535 0.8671
8600 0.9337 0.9224 0.8477 0.8609
8700 0.9372 0.9276 0.8512 0.8650
8800 0.9337 0.9221 0.8523 0.8652
8900 0.9430 0.9338 0.8488 0.8623
9000 0.9395 0.9289 0.8512 0.8645
9100 0.9395 0.9293 0.8488 0.8620
9200 0.9419 0.9324 0.8535 0.8660
9300 0.9372 0.9274 0.8477 0.8620
9400 0.9395 0.9304 0.8512 0.8647
9500 0.9395 0.9278 0.8477 0.8608
9600 0.9360 0.9256 0.8512 0.8651
9700 0.9349 0.9253 0.8558 0.8690
9800 0.9407 0.9310 0.8535 0.8666
9900 0.9372 0.9275 0.8512 0.8647
