# Step  AAaccuracy Af1 UAccuracy Uf1
0 0.2872 0.1275 0.0221 0.0058
100 0.2058 0.1331 0.0581 0.0135
200 0.2163 0.1531 0.0628 0.0256
300 0.2802 0.1751 0.1023 0.0621
400 0.4721 0.3499 0.1849 0.1722
500 0.7558 0.6901 0.4209 0.4283
600 0.8337 0.8070 0.6047 0.6254
700 0.8849 0.8611 0.7326 0.7491
800 0.9151 0.8998 0.7837 0.8032
900 0.8814 0.8588 0.7581 0.7724
1000 0.9116 0.9007 0.8267 0.8370
1100 0.9116 0.8998 0.8140 0.8280
1200 0.9209 0.9073 0.7826 0.8047
1300 0.9291 0.9179 0.8279 0.8416
1400 0.9186 0.9009 0.8221 0.8393
1500 0.9326 0.9197 0.8512 0.8629
1600 0.9349 0.9246 0.8291 0.8444
1700 0.9256 0.9130 0.8442 0.8564
1800 0.9360 0.9252 0.8570 0.8656
1900 0.9349 0.9237 0.8523 0.8643
2000 0.9395 0.9287 0.8302 0.8460
2100 0.9337 0.9216 0.8442 0.8572
2200 0.9419 0.9315 0.8547 0.8645
2300 0.9209 0.9073 0.8512 0.8624
2400 0.9372 0.9266 0.8465 0.8569
2500 0.9256 0.9089 0.8465 0.8610
2600 0.9302 0.9171 0.8640 0.8739
2700 0.9337 0.9221 0.8570 0.8690
2800 0.9453 0.9331 0.8547 0.8643
2900 0.9233 0.9110 0.8570 0.8678
3000 0.9395 0.9292 0.8488 0.8606
3100 0.9407 0.9309 0.8535 0.8645
3200 0.9442 0.9342 0.8663 0.8760
3300 0.9384 0.9269 0.8407 0.8523
3400 0.9384 0.9276 0.8733 0.8843
3500 0.9337 0.9224 0.8581 0.8653
3600 0.9349 0.9219 0.8570 0.8672
3700 0.9314 0.9196 0.8547 0.8648
3800 0.9430 0.9318 0.8709 0.8789
3900 0.9302 0.9202 0.8744 0.8860
4000 0.9360 0.9248 0.8558 0.8665
4100 0.9465 0.9366 0.8733 0.8828
4200 0.9419 0.9307 0.8593 0.8711
4300 0.9419 0.9321 0.8628 0.8706
4400 0.9430 0.9322 0.8605 0.8703
4500 0.9384 0.9239 0.8558 0.8650
4600 0.9256 0.9124 0.8593 0.8681
4700 0.9384 0.9269 0.8535 0.8630
4800 0.9349 0.9219 0.8628 0.8762
4900 0.9395 0.9291 0.8605 0.8722
5000 0.9395 0.9273 0.8628 0.8737
5100 0.9430 0.9322 0.8605 0.8696
5200 0.9372 0.9294 0.8593 0.8687
5300 0.9395 0.9282 0.8570 0.8664
5400 0.9453 0.9359 0.8686 0.8775
5500 0.9384 0.9278 0.8698 0.8797
5600 0.9430 0.9321 0.8709 0.8787
5700 0.9430 0.9326 0.8744 0.8830
5800 0.9419 0.9319 0.8663 0.8751
5900 0.9314 0.9188 0.8709 0.8798
6000 0.9430 0.9320 0.8628 0.8733
6100 0.9430 0.9324 0.8616 0.8724
6200 0.9407 0.9292 0.8663 0.8756
6300 0.9442 0.9335 0.8756 0.8837
6400 0.9430 0.9327 0.8674 0.8749
6500 0.9442 0.9346 0.8756 0.8845
6600 0.9442 0.9341 0.8686 0.8774
6700 0.9442 0.9336 0.8733 0.8813
6800 0.9442 0.9322 0.8651 0.8744
6900 0.9465 0.9354 0.8674 0.8768
7000 0.9407 0.9306 0.8686 0.8786
7100 0.9395 0.9273 0.8651 0.8741
7200 0.9372 0.9280 0.8593 0.8668
7300 0.9349 0.9224 0.8686 0.8772
7400 0.9419 0.9307 0.8663 0.8748
7500 0.9442 0.9326 0.8674 0.8779
7600 0.9395 0.9281 0.8663 0.8762
7700 0.9419 0.9309 0.8640 0.8734
7800 0.9419 0.9325 0.8767 0.8841
7900 0.9419 0.9306 0.8686 0.8767
8000 0.9395 0.9298 0.8733 0.8819
8100 0.9407 0.9292 0.8721 0.8811
8200 0.9442 0.9344 0.8721 0.8807
8300 0.9430 0.9315 0.8721 0.8818
8400 0.9384 0.9280 0.8674 0.8761
8500 0.9407 0.9294 0.8698 0.8783
8600 0.9395 0.9289 0.8686 0.8781
8700 0.9395 0.9290 0.8663 0.8761
8800 0.9442 0.9339 0.8709 0.8803
8900 0.9419 0.9318 0.8744 0.8828
9000 0.9430 0.9326 0.8674 0.8765
9100 0.9442 0.9339 0.8709 0.8806
9200 0.9360 0.9249 0.8721 0.8818
9300 0.9442 0.9342 0.8698 0.8789
9400 0.9395 0.9292 0.8674 0.8771
9500 0.9453 0.9365 0.8709 0.8811
9600 0.9453 0.9364 0.8640 0.8755
9700 0.9372 0.9258 0.8709 0.8806
9800 0.9419 0.9315 0.8744 0.8831
9900 0.9453 0.9357 0.8709 0.8801
10000 0.9430 0.9329 0.8744 0.8825
10100 0.9419 0.9313 0.8698 0.8791
10200 0.9419 0.9310 0.8721 0.8819
10300 0.9419 0.9312 0.8698 0.8802
10400 0.9407 0.9303 0.8651 0.8749
10500 0.9419 0.9317 0.8709 0.8798
10600 0.9419 0.9312 0.8721 0.8819
10700 0.9407 0.9299 0.8744 0.8832
10800 0.9395 0.9295 0.8698 0.8786
10900 0.9395 0.9289 0.8663 0.8757
11000 0.9407 0.9303 0.8709 0.8793
11100 0.9430 0.9327 0.8663 0.8761
11200 0.9407 0.9302 0.8686 0.8777
11300 0.9430 0.9327 0.8698 0.8786
11400 0.9419 0.9313 0.8709 0.8791
11500 0.9419 0.9322 0.8721 0.8811
11600 0.9395 0.9294 0.8698 0.8790
11700 0.9419 0.9321 0.8674 0.8766
11800 0.9395 0.9289 0.8721 0.8812
11900 0.9419 0.9325 0.8721 0.8811
12000 0.9407 0.9300 0.8709 0.8802
12100 0.9442 0.9341 0.8698 0.8786
12200 0.9407 0.9302 0.8721 0.8812
12300 0.9407 0.9311 0.8733 0.8819
12400 0.9407 0.9318 0.8721 0.8809
12500 0.9430 0.9340 0.8686 0.8779
12600 0.9419 0.9315 0.8674 0.8768
12700 0.9419 0.9327 0.8686 0.8777
12800 0.9407 0.9309 0.8709 0.8797
12900 0.9419 0.9326 0.8663 0.8756
13000 0.9407 0.9302 0.8686 0.8785
13100 0.9407 0.9302 0.8663 0.8765
13200 0.9419 0.9319 0.8709 0.8803
13300 0.9442 0.9353 0.8698 0.8787
13400 0.9430 0.9337 0.8686 0.8775
13500 0.9442 0.9336 0.8686 0.8779
13600 0.9442 0.9343 0.8698 0.8789
13700 0.9453 0.9353 0.8709 0.8801
13800 0.9430 0.9331 0.8698 0.8789
13900 0.9430 0.9327 0.8709 0.8799
14000 0.9430 0.9334 0.8686 0.8772
14100 0.9419 0.9310 0.8651 0.8749
14200 0.9442 0.9343 0.8651 0.8750
14300 0.9419 0.9323 0.8674 0.8764
14400 0.9430 0.9327 0.8686 0.8782
14500 0.9430 0.9331 0.8698 0.8791
14600 0.9419 0.9323 0.8686 0.8783
14700 0.9419 0.9323 0.8686 0.8781
14800 0.9430 0.9331 0.8663 0.8752
14900 0.9442 0.9341 0.8674 0.8764
15000 0.9419 0.9316 0.8663 0.8754
15100 0.9430 0.9330 0.8686 0.8775
15200 0.9419 0.9330 0.8663 0.8757
15300 0.9442 0.9338 0.8721 0.8813
15400 0.9453 0.9360 0.8709 0.8799
15500 0.9430 0.9344 0.8686 0.8774
15600 0.9430 0.9337 0.8698 0.8786
15700 0.9419 0.9327 0.8674 0.8764
15800 0.9395 0.9294 0.8698 0.8783
15900 0.9407 0.9313 0.8686 0.8782
16000 0.9407 0.9306 0.8651 0.8746
16100 0.9407 0.9313 0.8674 0.8774
16200 0.9430 0.9341 0.8651 0.8756
16300 0.9430 0.9341 0.8651 0.8756
